ID,Strain,Diet,Sugar,Initial mass,total intake ,fat mass,N body mass,N feces mass,growth ,feces mass,,,,,,,
G11F1,GA,medprot,fructose,5.5,9.1974,0.74109,0.59708,0.03797,4.6,0.6447,,,,,,,
G11F10,GA,medprot,fructose,5.1,11.3371,0.84642,0.5715,0.03481,5,0.6435,,,,,,,
G11F2,GA,medprot,fructose,6.1,9.8532,.,0.66727,0.04957,5.3,0.8915,,,,,,,
G11F3,GA,medprot,fructose,6.3,9.9844,1.4171,0.6344,0.05188,5.2,0.9101,,,,,,,
G11F4,GA,medprot,fructose,5.4,8.9821,0.64602,0.5904,0.04419,4.8,0.778,,,,,,,
G11F5,GA,medprot,fructose,5.1,8.6473,0.60704,0.62457,0.03755,4.5556,0.68389,,,,,,,
G11F6,GA,medprot,fructose,5.7,9.8896,0.46071,0.69905,0.04314,5.5,0.769,,,,,,,
G11F7,GA,medprot,fructose,5.6,8.9338,0.52506,0.6604,0.02424,5.2,0.4867,,,,,,,
G11F8,GA,medprot,fructose,4.8,8.0233,0.7045,0.623,0.03747,5,0.69,,,,,,,
G11F9,GA,medprot,fructose,6.1,9.2438,0.87588,0.61397,0.04663,4.9,0.7958,,,,,,,
G11G1,GA,medprot,glucose,6.1,3.5315,0.21819,0.341,0.02643,2.5,0.45175,,,,,,,
G11G10,GA,medprot,glucose,7,4.5272,0.53235,0.45663,0.03588,3.25,0.63388,,,,,,,
G11G2,GA,medprot,glucose,5.7,2.9357,0.20982,0.29969,0.02121,2.4286,0.38557,,,,,,,
G11G3,GA,medprot,glucose,7.4,6.1855,0.19053,0.5248,0.02493,4,0.49663,,,,,,,
G11G4,GA,medprot,glucose,6.4,3.211,0.26411,0.4323,0.02041,3,0.4235,,,,,,,
G11G5,GA,medprot,glucose,5.3,2.7343,0.17928,0.3285,0.0263,2.1429,0.44271,,,,,,,
G11G6,GA,medprot,glucose,5.2,3.6499,0.80791,0.42694,0.019,2.875,0.34538,,,,,,,
G11G7,GA,medprot,glucose,6.2,4.4302,0.43693,0.35799,0.02623,3.2222,0.46256,,,,,,,
G11G8,GA,medprot,glucose,5.6,2.458,0.24432,0.32963,0.02153,2.25,0.40325,,,,,,,
G11G9,GA,medprot,glucose,5.6,2.4394,0.5609,0.58653,0.02296,3.625,0.39788,,,,,,,
hG11F1,Hybrid,medprot,fructose,9.3,13.468,1.58001,0.99369,0.08041,8.125,1.27425,,,,,,,
hG11F2,Hybrid,medprot,fructose,9.2,16.8558,2.15988,1.24424,0.09499,10.3,1.5054,,,,,,,
hG11F3,Hybrid,medprot,fructose,8.9,13.3577,1.20734,0.9816,0.0711,8,1.17522,,,,,,,
hG11F4,Hybrid,medprot,fructose,8.4,13.1219,1.23114,0.90053,0.07198,7.3333,1.15356,,,,,,,
hG11F5,Hybrid,medprot,fructose,8.5,12.5881,1.49192,1.00172,0.07649,7.9,1.1896,,,,,,,
hG11F6,Hybrid,medprot,fructose,7.6,11.5558,1.47077,0.95625,0.06046,7.5,1.046,,,,,,,
